Sex,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker,Marital.Status,Creditability,Logistic Regression,Logistic Regression (Bad),Logistic Regression (Good)
Male,No Account,48.0,Critical Account,Business,7629.0,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,46.0,Bank,Own,2 or 3,Highly Qualified,>= 3,None,Yes,Divorced/Separated/Married,Good,Good,0.3272898114983912,0.6727101885016088
Male,< 0 EU,24.0,All Paid,Furniture/Equipment,2828.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,22.0,Stores,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.30213206866794684,0.6978679313320532
Female,No Account,15.0,Existing Paid,Car(Used),3812.0,100 <= ... < 500 EU,< 1 Year,< 20%,None,> 7 Years,Car or Other,23.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.04490363489871663,0.9550963651012834
Male,0 <= ... < 200 EU,14.0,Existing Paid,Business,1410.0,500 <= ... < 1000 EU,>= 7 Years,< 20%,None,1 - 4 Years,Real Estate,35.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.14321949588971317,0.8567805041102868
Male,< 0 EU,18.0,Existing Paid,Furniture/Equipment,4153.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,Co-Applicant,4 - 7 Years,Car or Other,42.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Bad,Good,0.4233664668193503,0.5766335331806497
Female,< 0 EU,18.0,Critical Account,Car(New),3966.0,< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Real Estate,33.0,Bank,Rent,4 or 5,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Bad,0.5521643058968164,0.4478356941031835
Female,< 0 EU,12.0,Existing Paid,Furniture/Equipment,2578.0,< 100 EU,Unemployed,25% - 35%,None,> 7 Years,Unknown,55.0,None,For Free,1,Highly Qualified,< 3,None,Yes,Divorced/Separated/Married,Good,Bad,0.5142287120237936,0.4857712879762064
Male,< 0 EU,48.0,Existing Paid,Education,7476.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,< 1 Year,Unknown,50.0,None,For Free,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Bad,0.5377360251229326,0.4622639748770674
Male,0 <= ... < 200 EU,12.0,Existing Paid,Furniture/Equipment,1922.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,37.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Single,Bad,Good,0.3029480428907203,0.6970519571092797
Male,0 <= ... < 200 EU,15.0,Critical Account,Radio/Television,2728.0,Unknown,4 <= ... < 7 Years,> 35%,Guarantor,1 - 4 Years,Real Estate,35.0,Bank,Own,4 or 5,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.021339014649014665,0.9786609853509853
Male,No Account,12.0,Existing Paid,Business,1542.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Car or Other,36.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.02464105795377125,0.9753589420462287
Female,No Account,12.0,Critical Account,Radio/Television,1291.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,35.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.1072738645744844,0.8927261354255156
Female,No Account,24.0,Existing Paid,Radio/Television,1376.0,500 <= ... < 1000 EU,4 <= ... < 7 Years,> 35%,None,< 1 Year,Car or Other,28.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.060446010070668854,0.9395539899293311
Male,No Account,30.0,Critical Account,Radio/Television,6742.0,Unknown,4 <= ... < 7 Years,20% - 25%,None,4 - 7 Years,Savings Agreement/Life Insurance,36.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.0308979949197159,0.9691020050802841
Male,< 0 EU,14.0,Existing Paid,Car(New),8978.0,< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,45.0,None,Own,1,Highly Qualified,< 3,Registered,No,Divorced/Separated/Married,Bad,Good,0.2719164904485174,0.7280835095514826
Male,0 <= ... < 200 EU,42.0,All Paid,Car(Used),9283.0,< 100 EU,Unemployed,< 20%,None,1 - 4 Years,Unknown,55.0,Bank,For Free,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Bad,0.5234787278912643,0.47652127210873574
Male,No Account,24.0,Existing Paid,Radio/Television,1552.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,< 1 Year,Car or Other,32.0,Bank,Own,1,Skilled Official,>= 3,None,Yes,Single,Good,Good,0.14909243631397295,0.850907563686027
Male,0 <= ... < 200 EU,36.0,Delay Paid,Car(New),2862.0,100 <= ... < 500 EU,>= 7 Years,> 35%,None,4 - 7 Years,Unknown,30.0,None,For Free,1,Skilled Official,< 3,None,Yes,Single,Good,Bad,0.7143895452261668,0.2856104547738331
Female,< 0 EU,6.0,Critical Account,Car(New),666.0,>= 1000 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Real Estate,39.0,None,Own,2 or 3,Unskilled Resident,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.07610229508997801,0.923897704910022
Male,No Account,39.0,Existing Paid,Car(Used),2569.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,24.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.07201053486043119,0.9279894651395688
Male,No Account,24.0,Existing Paid,Radio/Television,3430.0,500 <= ... < 1000 EU,>= 7 Years,25% - 35%,None,1 - 4 Years,Car or Other,31.0,None,Own,1,Skilled Official,>= 3,Registered,Yes,Single,Good,Good,0.2365906081900393,0.7634093918099607
Female,No Account,36.0,Delay Paid,Radio/Television,4454.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,34.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.16471559106242117,0.8352844089375788
Male,>= 200 EU,15.0,Critical Account,Car(Used),2360.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,36.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.01435088300206322,0.9856491169979368
Male,No Account,18.0,Delay Paid,Radio/Television,2320.0,< 100 EU,Unemployed,20% - 25%,None,4 - 7 Years,Real Estate,34.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.061820403799109136,0.9381795962008909
Male,< 0 EU,36.0,Existing Paid,Furniture/Equipment,3620.0,< 100 EU,1 <= ... < 4 Years,< 20%,Guarantor,1 - 4 Years,Savings Agreement/Life Insurance,37.0,None,Own,1,Skilled Official,>= 3,None,Yes,Single,Good,Good,0.352474418763254,0.647525581236746
Female,No Account,6.0,Critical Account,Radio/Television,1554.0,< 100 EU,4 <= ... < 7 Years,< 20%,None,1 - 4 Years,Car or Other,24.0,None,Rent,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.05003085318992373,0.9499691468100763
Male,>= 200 EU,24.0,Existing Paid,Furniture/Equipment,2892.0,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,51.0,None,For Free,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.42774631636585125,0.5722536836341487
Female,< 0 EU,12.0,Existing Paid,Appliances,741.0,100 <= ... < 500 EU,Unemployed,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,22.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.6649690660217519,0.3350309339782481
Male,< 0 EU,12.0,Critical Account,Car(New),4843.0,< 100 EU,>= 7 Years,25% - 35%,Co-Applicant,> 7 Years,Savings Agreement/Life Insurance,43.0,None,Rent,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Bad,Bad,0.6657756621884905,0.3342243378115095
Female,0 <= ... < 200 EU,11.0,Critical Account,Car(New),1322.0,>= 1000 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,40.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.20834947158419492,0.7916505284158051
Female,>= 200 EU,15.0,Existing Paid,Radio/Television,2327.0,< 100 EU,< 1 Year,20% - 25%,None,4 - 7 Years,Real Estate,25.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.3163002418226386,0.6836997581773614
Male,0 <= ... < 200 EU,60.0,Delay Paid,Radio/Television,7418.0,Unknown,1 <= ... < 4 Years,< 20%,None,< 1 Year,Real Estate,27.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.07647527809626764,0.9235247219037324
Male,< 0 EU,30.0,Existing Paid,Furniture/Equipment,6350.0,Unknown,>= 7 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,31.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Bad,Good,0.40209489854358094,0.5979051014564191
Female,< 0 EU,24.0,All Paid,Car(New),1193.0,< 100 EU,Unemployed,< 20%,Co-Applicant,> 7 Years,Unknown,29.0,None,Rent,2 or 3,Unemployed Non-resident,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.9453867026746953,0.05461329732530471
Male,No Account,24.0,Delay Paid,Business,2978.0,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,32.0,None,Own,2 or 3,Skilled Official,>= 3,Registered,Yes,Single,Good,Good,0.040515176457207924,0.9594848235427921
Male,0 <= ... < 200 EU,60.0,Existing Paid,Education,6288.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Unknown,42.0,None,For Free,1,Skilled Official,< 3,None,Yes,Single,Bad,Bad,0.8525712810208013,0.14742871897919876
Male,0 <= ... < 200 EU,24.0,Existing Paid,Radio/Television,2896.0,100 <= ... < 500 EU,< 1 Year,20% - 25%,None,< 1 Year,Car or Other,29.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.20633625299604597,0.793663747003954
Male,No Account,10.0,Existing Paid,Radio/Television,1924.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,38.0,None,Own,1,Skilled Official,< 3,Registered,No,Single,Good,Good,0.013408814379896161,0.9865911856201038
Female,No Account,24.0,Existing Paid,Car(Used),2603.0,>= 1000 EU,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,28.0,None,Rent,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.032303423116949115,0.9676965768830509
Male,< 0 EU,24.0,Existing Paid,Furniture/Equipment,4169.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,28.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.4456345728293636,0.5543654271706364
Female,No Account,36.0,Critical Account,Radio/Television,9566.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,31.0,Stores,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.2531409919006833,0.7468590080993167
Male,No Account,14.0,Delay Paid,Car(New),802.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,27.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.17403480611564237,0.8259651938843576
Male,No Account,24.0,Existing Paid,Radio/Television,1901.0,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,29.0,None,Rent,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.09249704290125982,0.9075029570987402
Male,No Account,21.0,Existing Paid,Radio/Television,3160.0,Unknown,>= 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,41.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.0710064964593975,0.9289935035406025
Female,0 <= ... < 200 EU,18.0,Critical Account,Radio/Television,1795.0,< 100 EU,>= 7 Years,25% - 35%,Guarantor,> 7 Years,Real Estate,48.0,Bank,Rent,2 or 3,Unskilled Resident,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.23129809020458614,0.7687019097954139
Male,0 <= ... < 200 EU,60.0,Delay Paid,Radio/Television,9157.0,Unknown,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Unknown,27.0,None,For Free,1,Highly Qualified,< 3,None,Yes,Single,Good,Good,0.3654872790019015,0.6345127209980985
Male,No Account,18.0,Critical Account,Radio/Television,6070.0,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Car or Other,33.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.08840359884543658,0.9115964011545634
Male,>= 200 EU,12.0,Existing Paid,Radio/Television,3016.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,< 1 Year,Car or Other,24.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.16424956556991543,0.8357504344300846
Female,No Account,6.0,Existing Paid,Furniture/Equipment,4611.0,< 100 EU,< 1 Year,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,32.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.12829296028347037,0.8717070397165296
Male,No Account,12.0,Critical Account,Radio/Television,522.0,500 <= ... < 1000 EU,>= 7 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,42.0,None,Own,2 or 3,Skilled Official,>= 3,Registered,Yes,Single,Good,Good,0.05248893656015152,0.9475110634398485
Male,0 <= ... < 200 EU,6.0,Existing Paid,Radio/Television,2063.0,< 100 EU,< 1 Year,> 35%,None,4 - 7 Years,Car or Other,30.0,None,Rent,1,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.48544882594323713,0.5145511740567629
Male,No Account,24.0,Critical Account,Radio/Television,2684.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,35.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.06298995195375412,0.9370100480462459
Male,< 0 EU,9.0,Existing Paid,Car(New),1422.0,< 100 EU,< 1 Year,25% - 35%,None,1 - 4 Years,Unknown,27.0,None,For Free,1,Highly Qualified,< 3,Registered,Yes,Single,Bad,Bad,0.7080708357378314,0.29192916426216864
Male,< 0 EU,24.0,All Paid,Furniture/Equipment,3552.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Car or Other,27.0,Bank,Own,1,Skilled Official,< 3,None,Yes,Single,Bad,Bad,0.5771005394175499,0.42289946058245015
Male,No Account,18.0,All Paid,Car(New),6458.0,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,39.0,Bank,Own,2 or 3,Highly Qualified,>= 3,Registered,Yes,Single,Bad,Bad,0.7027929541767566,0.29720704582324337
Male,No Account,12.0,Critical Account,Radio/Television,930.0,Unknown,>= 7 Years,> 35%,None,> 7 Years,Real Estate,65.0,None,Own,Above 6,Skilled Official,< 3,None,Yes,Single,Good,Good,0.012169056662133193,0.9878309433378668
Female,0 <= ... < 200 EU,9.0,Critical Account,Education,1501.0,< 100 EU,>= 7 Years,20% - 25%,None,4 - 7 Years,Car or Other,34.0,None,Own,2 or 3,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Good,0.3213625701456475,0.6786374298543525
Male,No Account,12.0,Existing Paid,Furniture/Equipment,1768.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Real Estate,24.0,None,Rent,1,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.15544895236653944,0.8445510476334606
Male,No Account,24.0,Delay Paid,Car(New),717.0,Unknown,>= 7 Years,> 35%,None,> 7 Years,Car or Other,54.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.05495013082210454,0.9450498691778955
Male,0 <= ... < 200 EU,18.0,Existing Paid,Business,1941.0,>= 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,35.0,None,Own,1,Unskilled Resident,< 3,Registered,Yes,Single,Good,Good,0.141712851704745,0.858287148295255
Male,< 0 EU,24.0,None Taken,Furniture/Equipment,4110.0,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,23.0,Bank,Rent,2 or 3,Skilled Official,>= 3,None,Yes,Single,Bad,Bad,0.9713350735065951,0.02866492649340491
Male,No Account,24.0,Existing Paid,Radio/Television,1311.0,100 <= ... < 500 EU,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,26.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.06633201742948291,0.9336679825705171
Male,No Account,18.0,Critical Account,Car(New),2775.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,31.0,Bank,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Bad,Good,0.12435502967580392,0.8756449703241961
Male,>= 200 EU,6.0,Critical Account,Car(New),1343.0,< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Real Estate,46.0,None,Own,2 or 3,Skilled Official,>= 3,None,No,Single,Good,Good,0.08805859874798982,0.9119414012520102
Male,< 0 EU,6.0,Existing Paid,Car(New),14896.0,< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Unknown,68.0,Bank,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Bad,Bad,0.7145866568061039,0.28541334319389616
Male,0 <= ... < 200 EU,24.0,Existing Paid,Car(New),1201.0,< 100 EU,< 1 Year,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,26.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Bad,0.5427063757165624,0.45729362428343756
Male,< 0 EU,15.0,Critical Account,Furniture/Equipment,1478.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,44.0,None,Own,2 or 3,Skilled Official,>= 3,Registered,Yes,Single,Good,Good,0.2868354893469147,0.7131645106530853
Male,>= 200 EU,21.0,Critical Account,Education,2319.0,< 100 EU,< 1 Year,20% - 25%,None,< 1 Year,Car or Other,33.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.176939285759098,0.823060714240902
Male,No Account,10.0,Existing Paid,Education,727.0,500 <= ... < 1000 EU,>= 7 Years,> 35%,None,> 7 Years,Unknown,46.0,None,For Free,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.14157651275413297,0.858423487245867
Female,< 0 EU,24.0,Existing Paid,Furniture/Equipment,3234.0,< 100 EU,< 1 Year,> 35%,None,> 7 Years,Real Estate,23.0,None,Rent,1,Unskilled Resident,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Bad,0.6163713068303385,0.3836286931696615
Female,0 <= ... < 200 EU,48.0,All Paid,Business,6416.0,< 100 EU,>= 7 Years,> 35%,None,4 - 7 Years,Unknown,59.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.9623866036150472,0.03761339638495277
Male,0 <= ... < 200 EU,48.0,All Paid,Car(New),12169.0,Unknown,Unemployed,> 35%,Co-Applicant,> 7 Years,Unknown,36.0,None,For Free,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Bad,0.8082718987288627,0.19172810127113724
Male,>= 200 EU,12.0,Existing Paid,Radio/Television,3399.0,Unknown,>= 7 Years,20% - 25%,None,4 - 7 Years,Car or Other,37.0,None,Own,1,Highly Qualified,< 3,None,Yes,Single,Good,Good,0.10708317904895315,0.8929168209510469
Male,No Account,12.0,Critical Account,Car(New),1163.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,44.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.016752644670026684,0.9832473553299733
Male,0 <= ... < 200 EU,15.0,Existing Paid,Repairs,1514.0,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,Guarantor,1 - 4 Years,Real Estate,22.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.13626734984475763,0.8637326501552424
Female,No Account,6.0,Critical Account,Radio/Television,1237.0,100 <= ... < 500 EU,1 <= ... < 4 Years,< 20%,None,< 1 Year,Savings Agreement/Life Insurance,27.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.01922789562605909,0.9807721043739409
Male,>= 200 EU,6.0,Critical Account,Car(New),1323.0,100 <= ... < 500 EU,>= 7 Years,20% - 25%,None,> 7 Years,Car or Other,28.0,None,Own,2 or 3,Skilled Official,>= 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.16412763214993253,0.8358723678500675
Male,No Account,48.0,Critical Account,Car(Used),2751.0,Unknown,>= 7 Years,> 35%,None,4 - 7 Years,Car or Other,38.0,None,Own,2 or 3,Skilled Official,>= 3,Registered,Yes,Single,Good,Good,0.06884417772778595,0.931155822272214
Female,0 <= ... < 200 EU,6.0,All Paid,Education,433.0,>= 1000 EU,< 1 Year,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,24.0,Bank,Rent,1,Skilled Official,>= 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.8996186775762164,0.10038132242378366
Female,< 0 EU,18.0,Critical Account,Furniture/Equipment,1049.0,< 100 EU,< 1 Year,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,21.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.4929620948232546,0.5070379051767454
Female,0 <= ... < 200 EU,48.0,Existing Paid,Car(New),8487.0,Unknown,4 <= ... < 7 Years,< 20%,None,1 - 4 Years,Car or Other,24.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Bad,0.5913466927249293,0.4086533072750706
Female,0 <= ... < 200 EU,12.0,Existing Paid,Car(New),7472.0,Unknown,Unemployed,< 20%,None,1 - 4 Years,Real Estate,24.0,None,Rent,1,Unemployed Non-resident,< 3,None,Yes,Divorced/Separated/Married,Good,Bad,0.5278463331675851,0.4721536668324149
Male,No Account,24.0,Existing Paid,Car(Used),2670.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,35.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.05003279756163492,0.9499672024383651
Male,No Account,18.0,Critical Account,Furniture/Equipment,3780.0,< 100 EU,< 1 Year,25% - 35%,None,1 - 4 Years,Car or Other,35.0,None,Own,2 or 3,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.083224732254355,0.916775267745645
Male,No Account,9.0,Critical Account,Education,936.0,500 <= ... < 1000 EU,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,52.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.06443721511653977,0.9355627848834602
Male,< 0 EU,24.0,All Paid,Furniture/Equipment,2483.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,22.0,Stores,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.2956315976692755,0.7043684023307245
Female,0 <= ... < 200 EU,6.0,Existing Paid,Radio/Television,753.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,Guarantor,4 - 7 Years,Real Estate,64.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.08248869393873182,0.9175113060612682
Male,No Account,18.0,Existing Paid,Radio/Television,1473.0,< 100 EU,< 1 Year,25% - 35%,None,> 7 Years,Real Estate,39.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.07456930501641001,0.92543069498359
Male,< 0 EU,36.0,Existing Paid,Furniture/Equipment,3959.0,< 100 EU,Unemployed,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,30.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.4937883499810638,0.5062116500189362
Female,< 0 EU,24.0,Existing Paid,Car(New),1371.0,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,25.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.5750610435834285,0.4249389564165716
Male,0 <= ... < 200 EU,36.0,Delay Paid,Car(New),2225.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Unknown,57.0,Bank,For Free,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Bad,Bad,0.7139824569719367,0.28601754302806326
Male,No Account,10.0,Existing Paid,Car(New),1597.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Unknown,40.0,None,Rent,1,Unskilled Resident,>= 3,None,No,Single,Good,Good,0.35266210808839005,0.64733789191161
Male,< 0 EU,24.0,All Paid,Other,1358.0,Unknown,>= 7 Years,> 35%,None,4 - 7 Years,Car or Other,40.0,Stores,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Bad,Good,0.34061577286876854,0.6593842271312315
Male,0 <= ... < 200 EU,18.0,Critical Account,Radio/Television,1245.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,33.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.16428500585007644,0.8357149941499236
Male,No Account,7.0,Delay Paid,Radio/Television,846.0,Unknown,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,36.0,None,For Free,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.03767464295604672,0.9623253570439533
Male,>= 200 EU,42.0,None Taken,Business,6289.0,< 100 EU,< 1 Year,20% - 25%,None,< 1 Year,Savings Agreement/Life Insurance,33.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Bad,0.5182709021619067,0.4817290978380932
Male,< 0 EU,24.0,Existing Paid,Car(New),2303.0,< 100 EU,>= 7 Years,> 35%,Co-Applicant,< 1 Year,Real Estate,45.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Bad,Bad,0.5379374946638353,0.46206250533616466
Female,< 0 EU,21.0,Existing Paid,Radio/Television,3357.0,>= 1000 EU,< 1 Year,> 35%,None,1 - 4 Years,Car or Other,29.0,Bank,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Bad,0.6549894914782715,0.3450105085217285
Female,0 <= ... < 200 EU,18.0,Existing Paid,Furniture/Equipment,3001.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Real Estate,40.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.26695972007037094,0.7330402799296291
Male,< 0 EU,12.0,Existing Paid,Education,684.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,40.0,None,Rent,1,Unskilled Resident,>= 3,None,Yes,Single,Bad,Bad,0.7103770008188751,0.2896229991811249
