Account.Balance,Sex,Payment.Status.of.Previous.Credit,Purpose,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Marital.Status,Duration.of.Credit..month.,Credit.Amount,Age..years.,Telephone,Foreign.Worker,Creditability,ID,Random Forest,Random Forest (Bad),Random Forest (Good)
No Account,Male,Critical Account,Business,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,Bank,Own,2 or 3,Highly Qualified,>= 3,Divorced/Separated/Married,48.0,7629.0,46.0,None,Yes,Good,458.0,Good,0.09333333333333334,0.9066666666666666
< 0 EU,Male,All Paid,Furniture/Equipment,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,Stores,Own,1,Skilled Official,< 3,Single,24.0,2828.0,22.0,Registered,Yes,Good,461.0,Good,0.22222222222222224,0.7777777777777778
No Account,Female,Existing Paid,Car(Used),100 <= ... < 500 EU,< 1 Year,< 20%,None,> 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,15.0,3812.0,23.0,Registered,Yes,Good,602.0,Good,0.06761904761904762,0.9323809523809523
0 <= ... < 200 EU,Male,Existing Paid,Business,500 <= ... < 1000 EU,>= 7 Years,< 20%,None,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,14.0,1410.0,35.0,Registered,Yes,Good,197.0,Good,0.0,1.0
< 0 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,20% - 25%,Co-Applicant,4 - 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,18.0,4153.0,42.0,None,Yes,Bad,500.0,Bad,0.569047619047619,0.4309523809523809
< 0 EU,Female,Critical Account,Car(New),< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Real Estate,Bank,Rent,4 or 5,Skilled Official,< 3,Divorced/Separated/Married,18.0,3966.0,33.0,Registered,Yes,Bad,522.0,Bad,0.7357142857142857,0.2642857142857143
< 0 EU,Female,Existing Paid,Furniture/Equipment,< 100 EU,Unemployed,25% - 35%,None,> 7 Years,Unknown,None,For Free,1,Highly Qualified,< 3,Divorced/Separated/Married,12.0,2578.0,55.0,None,Yes,Good,674.0,Good,0.205,0.795
< 0 EU,Male,Existing Paid,Education,< 100 EU,4 <= ... < 7 Years,> 35%,None,< 1 Year,Unknown,None,For Free,1,Highly Qualified,< 3,Single,48.0,7476.0,50.0,Registered,Yes,Good,412.0,Bad,0.5458333333333333,0.4541666666666666
0 <= ... < 200 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Unskilled Resident,< 3,Single,12.0,1922.0,37.0,None,Yes,Bad,346.0,Bad,0.55,0.45
0 <= ... < 200 EU,Male,Critical Account,Radio/Television,Unknown,4 <= ... < 7 Years,> 35%,Guarantor,1 - 4 Years,Real Estate,Bank,Own,4 or 5,Skilled Official,< 3,Single,15.0,2728.0,35.0,Registered,Yes,Good,950.0,Good,0.3190476190476191,0.680952380952381
No Account,Male,Existing Paid,Business,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,12.0,1542.0,36.0,Registered,Yes,Good,823.0,Good,0.025,0.975
No Account,Female,Critical Account,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,12.0,1291.0,35.0,None,Yes,Good,258.0,Good,0.01111111111111111,0.9888888888888889
No Account,Female,Existing Paid,Radio/Television,500 <= ... < 1000 EU,4 <= ... < 7 Years,> 35%,None,< 1 Year,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,1376.0,28.0,None,Yes,Good,210.0,Good,0.1619047619047619,0.8380952380952381
No Account,Male,Critical Account,Radio/Television,Unknown,4 <= ... < 7 Years,20% - 25%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Single,30.0,6742.0,36.0,None,Yes,Good,750.0,Good,0.06,0.9400000000000001
< 0 EU,Male,Existing Paid,Car(New),< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Highly Qualified,< 3,Divorced/Separated/Married,14.0,8978.0,45.0,Registered,No,Bad,590.0,Bad,0.755,0.24500000000000002
0 <= ... < 200 EU,Male,All Paid,Car(Used),< 100 EU,Unemployed,< 20%,None,1 - 4 Years,Unknown,Bank,For Free,1,Highly Qualified,< 3,Single,42.0,9283.0,55.0,Registered,Yes,Good,251.0,Good,0.19166666666666665,0.8083333333333332
No Account,Male,Existing Paid,Radio/Television,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,< 1 Year,Car or Other,Bank,Own,1,Skilled Official,>= 3,Single,24.0,1552.0,32.0,None,Yes,Good,628.0,Good,0.18,0.82
0 <= ... < 200 EU,Male,Delay Paid,Car(New),100 <= ... < 500 EU,>= 7 Years,> 35%,None,4 - 7 Years,Unknown,None,For Free,1,Skilled Official,< 3,Single,36.0,2862.0,30.0,None,Yes,Good,869.0,Good,0.2119047619047619,0.7880952380952381
< 0 EU,Female,Critical Account,Car(New),>= 1000 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Real Estate,None,Own,2 or 3,Unskilled Resident,< 3,Divorced/Separated/Married,6.0,666.0,39.0,Registered,Yes,Good,734.0,Good,0.09928571428571428,0.9007142857142858
No Account,Male,Existing Paid,Car(Used),500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,39.0,2569.0,24.0,None,Yes,Good,888.0,Good,0.05,0.95
No Account,Male,Existing Paid,Radio/Television,500 <= ... < 1000 EU,>= 7 Years,25% - 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,>= 3,Single,24.0,3430.0,31.0,Registered,Yes,Good,330.0,Good,0.0,1.0
No Account,Female,Delay Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,36.0,4454.0,34.0,None,Yes,Good,455.0,Good,0.2019047619047619,0.798095238095238
>= 200 EU,Male,Critical Account,Car(Used),500 <= ... < 1000 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,15.0,2360.0,36.0,Registered,Yes,Good,580.0,Good,0.02,0.9800000000000001
No Account,Male,Delay Paid,Radio/Television,< 100 EU,Unemployed,20% - 25%,None,4 - 7 Years,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,18.0,2320.0,34.0,None,Yes,Good,658.0,Good,0.15357142857142855,0.8464285714285715
< 0 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,< 20%,Guarantor,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,>= 3,Single,36.0,3620.0,37.0,None,Yes,Good,921.0,Good,0.16666666666666666,0.8333333333333333
No Account,Female,Critical Account,Radio/Television,< 100 EU,4 <= ... < 7 Years,< 20%,None,1 - 4 Years,Car or Other,None,Rent,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,6.0,1554.0,24.0,Registered,Yes,Good,300.0,Good,0.2,0.8
>= 200 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,None,For Free,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,2892.0,51.0,None,Yes,Good,275.0,Good,0.31666666666666665,0.6833333333333333
< 0 EU,Female,Existing Paid,Appliances,100 <= ... < 500 EU,Unemployed,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,741.0,22.0,None,Yes,Bad,785.0,Bad,0.8685714285714287,0.13142857142857142
< 0 EU,Male,Critical Account,Car(New),< 100 EU,>= 7 Years,25% - 35%,Co-Applicant,> 7 Years,Savings Agreement/Life Insurance,None,Rent,2 or 3,Skilled Official,< 3,Single,12.0,4843.0,43.0,Registered,Yes,Bad,848.0,Bad,0.65,0.35
0 <= ... < 200 EU,Female,Critical Account,Car(New),>= 1000 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,11.0,1322.0,40.0,None,Yes,Good,336.0,Good,0.1,0.9
>= 200 EU,Female,Existing Paid,Radio/Television,< 100 EU,< 1 Year,20% - 25%,None,4 - 7 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,15.0,2327.0,25.0,None,Yes,Bad,692.0,Good,0.4296428571428571,0.5703571428571429
0 <= ... < 200 EU,Male,Delay Paid,Radio/Television,Unknown,1 <= ... < 4 Years,< 20%,None,< 1 Year,Real Estate,None,Own,1,Unskilled Resident,< 3,Single,60.0,7418.0,27.0,None,Yes,Good,201.0,Good,0.145,0.8550000000000001
< 0 EU,Male,Existing Paid,Furniture/Equipment,Unknown,>= 7 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Single,30.0,6350.0,31.0,None,Yes,Bad,638.0,Bad,0.5633333333333332,0.43666666666666665
< 0 EU,Female,All Paid,Car(New),< 100 EU,Unemployed,< 20%,Co-Applicant,> 7 Years,Unknown,None,Rent,2 or 3,Unemployed Non-resident,< 3,Divorced/Separated/Married,24.0,1193.0,29.0,None,Yes,Bad,940.0,Bad,0.7285714285714285,0.27142857142857146
No Account,Male,Delay Paid,Business,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,None,Own,2 or 3,Skilled Official,>= 3,Single,24.0,2978.0,32.0,Registered,Yes,Good,636.0,Good,0.0,1.0
0 <= ... < 200 EU,Male,Existing Paid,Education,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Unknown,None,For Free,1,Skilled Official,< 3,Single,60.0,6288.0,42.0,None,Yes,Bad,472.0,Bad,0.7566666666666666,0.24333333333333332
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,100 <= ... < 500 EU,< 1 Year,20% - 25%,None,< 1 Year,Car or Other,None,Own,1,Skilled Official,< 3,Single,24.0,2896.0,29.0,None,Yes,Good,504.0,Good,0.1,0.9
No Account,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Single,10.0,1924.0,38.0,Registered,No,Good,890.0,Good,0.0,1.0
No Account,Female,Existing Paid,Car(Used),>= 1000 EU,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,2603.0,28.0,Registered,Yes,Good,293.0,Good,0.16595238095238093,0.834047619047619
< 0 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Single,24.0,4169.0,28.0,None,Yes,Good,521.0,Good,0.16285714285714287,0.837142857142857
No Account,Female,Critical Account,Radio/Television,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,Stores,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,36.0,9566.0,31.0,None,Yes,Good,292.0,Good,0.335,0.665
No Account,Male,Delay Paid,Car(New),< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Unskilled Resident,< 3,Single,14.0,802.0,27.0,None,Yes,Good,550.0,Good,0.11333333333333333,0.8866666666666667
No Account,Male,Existing Paid,Radio/Television,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,None,Rent,1,Highly Qualified,< 3,Single,24.0,1901.0,29.0,Registered,Yes,Good,414.0,Good,0.13999999999999999,0.86
No Account,Male,Existing Paid,Radio/Television,Unknown,>= 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Single,21.0,3160.0,41.0,Registered,Yes,Good,471.0,Good,0.0,1.0
0 <= ... < 200 EU,Female,Critical Account,Radio/Television,< 100 EU,>= 7 Years,25% - 35%,Guarantor,> 7 Years,Real Estate,Bank,Rent,2 or 3,Unskilled Resident,< 3,Divorced/Separated/Married,18.0,1795.0,48.0,Registered,Yes,Good,170.0,Good,0.13999999999999999,0.86
0 <= ... < 200 EU,Male,Delay Paid,Radio/Television,Unknown,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Unknown,None,For Free,1,Highly Qualified,< 3,Single,60.0,9157.0,27.0,None,Yes,Good,323.0,Good,0.31166666666666665,0.6883333333333332
No Account,Male,Critical Account,Radio/Television,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,18.0,6070.0,33.0,Registered,Yes,Good,804.0,Good,0.0,1.0
>= 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,< 1 Year,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,3016.0,24.0,None,Yes,Good,463.0,Good,0.29166666666666663,0.7083333333333333
No Account,Female,Existing Paid,Furniture/Equipment,< 100 EU,< 1 Year,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,6.0,4611.0,32.0,None,Yes,Bad,541.0,Good,0.47833333333333333,0.5216666666666667
No Account,Male,Critical Account,Radio/Television,500 <= ... < 1000 EU,>= 7 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,>= 3,Single,12.0,522.0,42.0,Registered,Yes,Good,896.0,Good,0.06666666666666667,0.9333333333333332
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,< 1 Year,> 35%,None,4 - 7 Years,Car or Other,None,Rent,1,Highly Qualified,< 3,Divorced/Separated/Married,6.0,2063.0,30.0,Registered,Yes,Good,163.0,Good,0.13666666666666666,0.8633333333333333
No Account,Male,Critical Account,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,None,Own,2 or 3,Unskilled Resident,< 3,Single,24.0,2684.0,35.0,None,Yes,Good,558.0,Good,0.13333333333333333,0.8666666666666668
< 0 EU,Male,Existing Paid,Car(New),< 100 EU,< 1 Year,25% - 35%,None,1 - 4 Years,Unknown,None,For Free,1,Highly Qualified,< 3,Single,9.0,1422.0,27.0,Registered,Yes,Bad,559.0,Bad,0.6716666666666666,0.32833333333333337
< 0 EU,Male,All Paid,Furniture/Equipment,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Car or Other,Bank,Own,1,Skilled Official,< 3,Single,24.0,3552.0,27.0,None,Yes,Bad,456.0,Bad,0.7763888888888889,0.22361111111111112
No Account,Male,All Paid,Car(New),< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,Bank,Own,2 or 3,Highly Qualified,>= 3,Single,18.0,6458.0,39.0,Registered,Yes,Bad,505.0,Bad,0.5583333333333333,0.4416666666666666
No Account,Male,Critical Account,Radio/Television,Unknown,>= 7 Years,> 35%,None,> 7 Years,Real Estate,None,Own,Above 6,Skilled Official,< 3,Single,12.0,930.0,65.0,None,Yes,Good,176.0,Good,0.0,1.0
0 <= ... < 200 EU,Female,Critical Account,Education,< 100 EU,>= 7 Years,20% - 25%,None,4 - 7 Years,Car or Other,None,Own,2 or 3,Highly Qualified,< 3,Divorced/Separated/Married,9.0,1501.0,34.0,Registered,Yes,Bad,748.0,Bad,0.8583333333333332,0.14166666666666666
No Account,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Real Estate,None,Rent,1,Unskilled Resident,< 3,Single,12.0,1768.0,24.0,None,Yes,Good,320.0,Good,0.1,0.9
No Account,Male,Delay Paid,Car(New),Unknown,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,24.0,717.0,54.0,Registered,Yes,Good,189.0,Good,0.0,1.0
0 <= ... < 200 EU,Male,Existing Paid,Business,>= 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Unskilled Resident,< 3,Single,18.0,1941.0,35.0,Registered,Yes,Good,326.0,Good,0.03333333333333333,0.9666666666666668
< 0 EU,Male,None Taken,Furniture/Equipment,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,Bank,Rent,2 or 3,Skilled Official,>= 3,Single,24.0,4110.0,23.0,None,Yes,Bad,396.0,Bad,0.8333333333333333,0.16666666666666666
No Account,Male,Existing Paid,Radio/Television,100 <= ... < 500 EU,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,1311.0,26.0,Registered,Yes,Good,449.0,Good,0.045,0.9550000000000001
No Account,Male,Critical Account,Car(New),< 100 EU,4 <= ... < 7 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,Bank,Own,2 or 3,Skilled Official,< 3,Single,18.0,2775.0,31.0,None,Yes,Bad,819.0,Bad,0.7016666666666667,0.29833333333333334
>= 200 EU,Male,Critical Account,Car(New),< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Real Estate,None,Own,2 or 3,Skilled Official,>= 3,Single,6.0,1343.0,46.0,None,No,Good,567.0,Good,0.0,1.0
< 0 EU,Male,Existing Paid,Car(New),< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Unknown,Bank,Own,1,Highly Qualified,< 3,Single,6.0,14896.0,68.0,Registered,Yes,Bad,699.0,Bad,0.9133333333333333,0.08666666666666666
0 <= ... < 200 EU,Male,Existing Paid,Car(New),< 100 EU,< 1 Year,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Single,24.0,1201.0,26.0,None,Yes,Good,423.0,Good,0.2580952380952381,0.7419047619047618
< 0 EU,Male,Critical Account,Furniture/Equipment,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,2 or 3,Skilled Official,>= 3,Single,15.0,1478.0,44.0,Registered,Yes,Good,762.0,Good,0.13571428571428573,0.8642857142857142
>= 200 EU,Male,Critical Account,Education,< 100 EU,< 1 Year,20% - 25%,None,< 1 Year,Car or Other,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,21.0,2319.0,33.0,None,Yes,Bad,305.0,Bad,0.62,0.38
No Account,Male,Existing Paid,Education,500 <= ... < 1000 EU,>= 7 Years,> 35%,None,> 7 Years,Unknown,None,For Free,1,Skilled Official,< 3,Single,10.0,727.0,46.0,Registered,Yes,Good,277.0,Good,0.05,0.95
< 0 EU,Female,Existing Paid,Furniture/Equipment,< 100 EU,< 1 Year,> 35%,None,> 7 Years,Real Estate,None,Rent,1,Unskilled Resident,< 3,Divorced/Separated/Married,24.0,3234.0,23.0,Registered,Yes,Bad,600.0,Bad,0.5392857142857143,0.46071428571428574
0 <= ... < 200 EU,Female,All Paid,Business,< 100 EU,>= 7 Years,> 35%,None,4 - 7 Years,Unknown,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,48.0,6416.0,59.0,None,Yes,Bad,722.0,Bad,0.975,0.025
0 <= ... < 200 EU,Male,All Paid,Car(New),Unknown,Unemployed,> 35%,Co-Applicant,> 7 Years,Unknown,None,For Free,1,Highly Qualified,< 3,Single,48.0,12169.0,36.0,Registered,Yes,Good,492.0,Good,0.06666666666666667,0.9333333333333333
>= 200 EU,Male,Existing Paid,Radio/Television,Unknown,>= 7 Years,20% - 25%,None,4 - 7 Years,Car or Other,None,Own,1,Highly Qualified,< 3,Single,12.0,3399.0,37.0,None,Yes,Good,581.0,Good,0.25833333333333336,0.7416666666666667
No Account,Male,Critical Account,Car(New),500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,12.0,1163.0,44.0,Registered,Yes,Good,438.0,Good,0.06666666666666667,0.9333333333333332
0 <= ... < 200 EU,Male,Existing Paid,Repairs,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,Guarantor,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,15.0,1514.0,22.0,None,Yes,Good,264.0,Good,0.1,0.9
No Account,Female,Critical Account,Radio/Television,100 <= ... < 500 EU,1 <= ... < 4 Years,< 20%,None,< 1 Year,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,6.0,1237.0,27.0,None,Yes,Good,650.0,Good,0.06999999999999999,0.93
>= 200 EU,Male,Critical Account,Car(New),100 <= ... < 500 EU,>= 7 Years,20% - 25%,None,> 7 Years,Car or Other,None,Own,2 or 3,Skilled Official,>= 3,Divorced/Separated/Married,6.0,1323.0,28.0,Registered,Yes,Good,324.0,Good,0.08,0.9199999999999999
No Account,Male,Critical Account,Car(Used),Unknown,>= 7 Years,> 35%,None,4 - 7 Years,Car or Other,None,Own,2 or 3,Skilled Official,>= 3,Single,48.0,2751.0,38.0,Registered,Yes,Good,510.0,Good,0.025,0.975
0 <= ... < 200 EU,Female,All Paid,Education,>= 1000 EU,< 1 Year,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,Bank,Rent,1,Skilled Official,>= 3,Divorced/Separated/Married,6.0,433.0,24.0,None,Yes,Bad,633.0,Bad,0.68,0.32
< 0 EU,Female,Critical Account,Furniture/Equipment,< 100 EU,< 1 Year,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,18.0,1049.0,21.0,None,Yes,Good,208.0,Good,0.256038961038961,0.7439610389610389
0 <= ... < 200 EU,Female,Existing Paid,Car(New),Unknown,4 <= ... < 7 Years,< 20%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,48.0,8487.0,24.0,None,Yes,Good,703.0,Good,0.32,0.6799999999999999
0 <= ... < 200 EU,Female,Existing Paid,Car(New),Unknown,Unemployed,< 20%,None,1 - 4 Years,Real Estate,None,Rent,1,Unemployed Non-resident,< 3,Divorced/Separated/Married,12.0,7472.0,24.0,None,Yes,Good,373.0,Good,0.17666666666666667,0.8233333333333335
No Account,Male,Existing Paid,Car(Used),< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,1,Highly Qualified,< 3,Single,24.0,2670.0,35.0,Registered,Yes,Good,431.0,Good,0.1,0.9
No Account,Male,Critical Account,Furniture/Equipment,< 100 EU,< 1 Year,25% - 35%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Highly Qualified,< 3,Divorced/Separated/Married,18.0,3780.0,35.0,Registered,Yes,Good,168.0,Good,0.0,1.0
No Account,Male,Critical Account,Education,500 <= ... < 1000 EU,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,9.0,936.0,52.0,Registered,Yes,Good,278.0,Good,0.06666666666666667,0.9333333333333332
< 0 EU,Male,All Paid,Furniture/Equipment,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,Stores,Own,1,Skilled Official,< 3,Single,24.0,2483.0,22.0,Registered,Yes,Good,473.0,Good,0.22222222222222224,0.7777777777777778
0 <= ... < 200 EU,Female,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,20% - 25%,Guarantor,4 - 7 Years,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,6.0,753.0,64.0,None,Yes,Good,406.0,Good,0.05,0.95
No Account,Male,Existing Paid,Radio/Television,< 100 EU,< 1 Year,25% - 35%,None,> 7 Years,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,18.0,1473.0,39.0,Registered,Yes,Good,689.0,Good,0.04,0.96
< 0 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,Unemployed,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,1,Highly Qualified,< 3,Single,36.0,3959.0,30.0,Registered,Yes,Good,621.0,Good,0.2630952380952381,0.736904761904762
< 0 EU,Female,Existing Paid,Car(New),Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,1371.0,25.0,None,Yes,Bad,749.0,Bad,0.6816666666666668,0.31833333333333336
0 <= ... < 200 EU,Male,Delay Paid,Car(New),< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Unknown,Bank,For Free,2 or 3,Skilled Official,< 3,Single,36.0,2225.0,57.0,Registered,Yes,Bad,619.0,Bad,0.7,0.30000000000000004
No Account,Male,Existing Paid,Car(New),500 <= ... < 1000 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Unknown,None,Rent,1,Unskilled Resident,>= 3,Single,10.0,1597.0,40.0,None,No,Good,919.0,Good,0.03333333333333333,0.9666666666666668
< 0 EU,Male,All Paid,Other,Unknown,>= 7 Years,> 35%,None,4 - 7 Years,Car or Other,Stores,Own,1,Highly Qualified,< 3,Single,24.0,1358.0,40.0,Registered,Yes,Bad,341.0,Bad,0.8614285714285714,0.13857142857142857
0 <= ... < 200 EU,Male,Critical Account,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,18.0,1245.0,33.0,None,Yes,Bad,266.0,Bad,0.7007142857142856,0.29928571428571427
No Account,Male,Delay Paid,Radio/Television,Unknown,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,None,For Free,1,Skilled Official,< 3,Single,7.0,846.0,36.0,None,Yes,Good,667.0,Good,0.14642857142857144,0.8535714285714284
>= 200 EU,Male,None Taken,Business,< 100 EU,< 1 Year,20% - 25%,None,< 1 Year,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,42.0,6289.0,33.0,None,Yes,Good,860.0,Good,0.325,0.675
< 0 EU,Male,Existing Paid,Car(New),< 100 EU,>= 7 Years,> 35%,Co-Applicant,< 1 Year,Real Estate,None,Own,1,Skilled Official,< 3,Single,24.0,2303.0,45.0,None,Yes,Bad,686.0,Bad,0.72,0.27999999999999997
< 0 EU,Female,Existing Paid,Radio/Television,>= 1000 EU,< 1 Year,> 35%,None,1 - 4 Years,Car or Other,Bank,Own,1,Skilled Official,< 3,Divorced/Separated/Married,21.0,3357.0,29.0,None,Yes,Good,245.0,Good,0.21388888888888888,0.7861111111111111
0 <= ... < 200 EU,Female,Existing Paid,Furniture/Equipment,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Real Estate,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,18.0,3001.0,40.0,None,Yes,Good,331.0,Good,0.08666666666666667,0.9133333333333333
< 0 EU,Male,Existing Paid,Education,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,None,Rent,1,Unskilled Resident,>= 3,Single,12.0,684.0,40.0,None,Yes,Bad,452.0,Bad,0.7957142857142856,0.20428571428571426
